m53wUu4u,2021.06.20,14:42:15,600+0,Normal,1-0,jacobaharris,1475,+7,SPPranay25129,1495,-6
XeZ7fZmx,2021.06.20,15:02:09,600+0,Normal,0-1,naseersalam,1692,-9,jacobaharris,1482,+9
eD80FGMX,2021.06.20,15:19:24,600+0,Normal,1-0,dizual,1983,+1,jacobaharris,1491,+0
B5gRC3kt,2021.06.20,15:37:18,600+0,Normal,1-0,jacobaharris,1491,+11,Tesla_Roadster,1949,-11
MdUd4lUi,2021.06.20,15:48:18,600+0,Normal,1-0,alud22,2277,+10,jacobaharris,1502,+0
a9LjQRX0,2021.06.20,15:56:28,600+0,Normal,0-1,jacobaharris,1502,+0,Javigg2010,2171,+0
MD0i3dnx,2021.06.23,12:50:36,600+0,Normal,0-1,jacobaharris,1502,-2,Klapperschlange,1835,+2
Oo4ceKZK,2021.06.23,13:02:53,600+0,Normal,1-0,arrjunan,1384,+41,jacobaharris,1500,-8
VILA8LMI,2021.06.23,13:11:15,600+0,Normal,1-0,jacobaharris,1492,+3,NabizadeTogrul,1252,-3
aHwaeWbO,2021.06.23,13:13:06,600+0,Time forfeit,1-0,Eidil001,1860,+1,jacobaharris,1495,-1
ZWvnDunX,2021.06.23,13:29:55,600+0,Normal,0-1,jacobaharris,1494,-2,ridik_19,1817,+2
vg4BUUXD,2021.06.23,13:42:41,600+0,Normal,0-1,nesazoghi1387,1001,-2,jacobaharris,1492,+1
jWNCPvXt,2021.06.23,13:47:46,600+0,Normal,0-1,jacobaharris,1493,+0,sonkarsantosh,2097,+1
E61TwCtO,2021.06.25,16:27:25,600+0,Normal,1-0,jacobaharris,1493,+6,nitshak101,1493,-7
GLJCqRaM,2021.06.25,16:41:58,600+0,Time forfeit,1-0,Revanov,1703,+3,jacobaharris,1499,-3
LhfeABH0,2021.06.25,16:58:33,600+0,Normal,0-1,semihaskan,1381,-5,jacobaharris,1496,+5
